,hu_xing,area,chao_xiang,other,lou_cen,lei_xin,dan_jia,zong_jia
682,2室1厅 ,55.0,东南北, 精装 , 顶层(共6层) , 1990年建 ,"77,972元/平",429
683,3室1厅 ,88.0,东南北, 毛坯 , 4层 , 1979年建 ,"79,483元/平",700
684,2室1厅 ,85.0,南北, 精装 , 低楼层(共11层) , 2013年建 ,"46,449元/平",395
685,2室1厅 ,92.1,南北, 精装 , 7层 , 2002年建 ,"45,588元/平",420
686,2室2厅 ,87.8,南北, 精装 , 低楼层(共6层) , 2004年建 ,"52,266元/平",459
687,2室1厅 ,105.4,东, 精装 , 24层 , 2002年建 ,"58,601元/平",618
688,2室1厅 ,70.0,东南, 精装 , 中楼层(共21层) , 1990年建 ,"125,697元/平",880
689,2室1厅 ,73.2,南北, 精装 , 中楼层(共7层) , 2005年建 ,"44,903元/平",329
690,3室1厅 ,80.6,南北, 精装 , 中楼层(共6层) , 1979年建 ,"107,928元/平",870
691,1室1厅 ,55.5,南, 简装 , 中楼层(共15层) , 2014年建 ,"32,938元/平",183
692,2室1厅 ,51.4,东北, 简装 , 高楼层(共6层) , 1981年建 ,"59,899元/平",308
693,1室1厅 ,41.9,南, 精装 , 低楼层(共6层) , 1990年建 ,"102,455元/平",430
694,2室1厅 ,64.2,东南, 精装 , 高楼层(共18层) , 1994年建 ,"72,807元/平",468
695,2室1厅 ,53.6,南北, 简装 , 低楼层(共6层) , 1987年建 ,"86,738元/平",465
696,2室1厅 ,111.3,南北, 精装 , 中楼层(共10层) , 2012年建 ,"66,290元/平",738
697,3室2厅 ,160.1,南北, 精装 , 低楼层(共7层) , 2001年建 ,"36,848元/平",590
698,2室1厅 ,63.5,南, 简装 , 顶层(共24层) , 1998年建 ,"57,166元/平",363
699,3室2厅 ,131.6,南北, 精装 , 中楼层(共8层) , 2005年建 ,"95,716元/平",1260
700,3室1厅 ,89.6,南北, 精装 , 中楼层(共18层) , 2014年建 ,"41,821元/平",375
701,2室1厅 ,84.0,南北, 精装 , 底层(共19层) , 2014年建 ,"39,858元/平",335
702,2室1厅 ,56.1,西南, 精装 , 中楼层(共25层) , 1992年建 ,"78,390元/平",440
703,1室1厅 ,62.7,南, 精装 , 中楼层(共18层) , 2004年建 ,"97,196元/平",610
704,3室2厅 ,93.1,南北, 简装 , 中楼层(共26层) , 2015年建 ,"46,699元/平",435
705,2室1厅 ,108.4,南北, 精装 , 低楼层(共10层) , 2008年建 ,"47,971元/平",520
706,3室2厅 ,130.8,南北, 精装 , 低楼层(共20层) , 2010年建 ,"39,658元/平",519
707,3室1厅 ,126.4,南北, 精装 , 底层(共6层) , 2004年建 ,"72,745元/平",920
708,2室2厅 ,87.7,东南, 精装 , 中楼层(共26层) , 2009年建 ,"88,765元/平",779
709,2室1厅 ,96.3,西南, 精装 , 中楼层(共22层) , 2004年建 ,"55,516元/平",535
710,2室2厅 ,96.9,南北, 精装 , 中楼层(共13层) , 2005年建 ,"51,068元/平",495
711,2室1厅 ,92.1,西, 精装 , 高楼层(共32层) , 2003年建 ,"45,050元/平",415
712,3室1厅 ,101.0,东南北, 简装 , 中楼层(共21层) , 1998年建 ,"52,924元/平",535
713,2室1厅 ,68.1,西北, 简装 , 低楼层(共22层) , 2011年建 ,"53,535元/平",365
714,3室1厅 ,105.7,南北, 精装 , 高楼层(共18层) , 2013年建 ,"19,862元/平",210
715,2室1厅 ,57.2,东西, 精装 , 底层(共14层) , 1987年建 ,"82,068元/平",470
716,2室1厅 ,61.0,南北, 精装 , 高楼层(共6层) , 1989年建 ,"36,831元/平",225
717,2室1厅 ,75.3,南北, 精装 , 顶层(共6层) , 1999年建 ,"57,037元/平",430
718,3室1厅 ,123.6,南北, 精装 , 中楼层(共6层) , 2004年建 ,"55,803元/平",690
719,2室2厅 ,112.8,南北, 精装 , 中楼层(共9层) , 2006年建 ,"109,043元/平",1230
720,2室1厅 ,53.7,南北, 简装 , 6层 , 1996年建 ,"45,607元/平",245
721,2室1厅 ,68.1,西北, 简装 , 低楼层(共22层) , 2011年建 ,"53,535元/平",365
722,4室2厅 ,159.7,西北, 简装 , 高楼层(共28层) , 2000年建 ,"98,911元/平",1580
723,2室1厅 ,105.5,南北, 简装 , 中楼层(共22层) , 2004年建 ,"55,898元/平",590
724,2室1厅 ,92.1,西, 精装 , 高楼层(共32层) , 2003年建 ,"45,050元/平",415
725,2室1厅 ,64.0,南北, 精装 , 底层(共6层) , 1996年建 ,"35,776元/平",229
726,3室1厅 ,127.6,南北, 精装 , 高楼层(共25层) , 2007年建 ,"39,559元/平",505
727,2室1厅 ,56.1,西南, 精装 , 中楼层(共25层) , 1992年建 ,"78,390元/平",440
728,2室1厅 ,61.2,南北, 精装 , 中楼层(共7层) , 1991年建 ,"116,716元/平",715
729,2室2厅 ,105.9,南北, 精装 , 低楼层(共17层) , 2003年建 ,"82,146元/平",870
730,3室1厅 ,101.0,东南北, 简装 , 中楼层(共21层) , 1998年建 ,"52,924元/平",535
731,3室1厅 ,105.7,南北, 精装 , 高楼层(共18层) , 2013年建 ,"19,862元/平",210
732,1室1厅 ,62.7,南, 精装 , 中楼层(共18层) , 2004年建 ,"97,196元/平",610
733,3室1厅 ,147.2,东南, 精装 , 中楼层(共23层) , 2005年建 ,"72,006元/平",1060
734,1室1厅 ,46.9,东, 精装 , 23层 , 2008年建 ,"48,127元/平",226
735,2室1厅 ,93.3,南北, 简装 , 中楼层(共13层) , 2010年建 ,"93,714元/平",875
736,2室1厅 ,79.1,南北, 简装 , 高楼层(共18层) , 2012年建 ,"35,399元/平",280
737,2室1厅 ,96.8,南北, 精装 , 低楼层(共9层) , 2013年建 ,"35,615元/平",345
738,3室2厅 ,125.2,南北, 精装 , 中楼层(共16层) , 2005年建 ,"71,435元/平",895
739,3室1厅 ,93.5,南北, 简装 , 中楼层(共10层) , 2013年建 ,"45,980元/平",430
740,2室1厅 ,59.5,南北, 精装 , 中楼层(共6层) , 1997年建 ,"61,598元/平",367
741,2室1厅 ,69.0,东南, 精装 , 中楼层(共23层) , 2013年建 ,"64,843元/平",448
742,1室1厅 ,41.9,南, 精装 , 低楼层(共6层) , 1990年建 ,"102,455元/平",430
743,3室1厅 ,94.0,南, 精装 , 低楼层(共25层) , 2001年建 ,"54,221元/平",510
744,2室1厅 ,63.5,南北, 简装 , 中楼层(共9层) , 1999年建 ,"115,657元/平",735
745,2室1厅 ,80.0,南北, 精装 , 低楼层(共18层) , 2014年建 ,"23,474元/平",188
746,2室1厅 ,69.2,南, 简装 , 中楼层(共17层) , 1990年建 ,"64,866元/平",449
747,2室1厅 ,80.4,西南, 其他 , 中楼层(共12层) , 2004年建 ,"50,827元/平",409
748,2室1厅 ,71,西南, 精装 , 中楼层(共24层) , 2000年建 ,"56,057元/平",398
749,2室1厅 ,86,东南, 精装 , 中楼层(共22层) , 2013年建 ,"41,628元/平",358
750,3室2厅 ,131.6,南北, 精装 , 中楼层(共8层) , 2005年建 ,"95,716元/平",1260
751,2室2厅 ,96.9,南北, 精装 , 中楼层(共13层) , 2005年建 ,"51,068元/平",495
752,2室1厅 ,108.4,南北, 精装 , 低楼层(共10层) , 2008年建 ,"47,971元/平",520
753,2室1厅 ,78.8,东南, 精装 , 高楼层(共23层) , 2006年建 ,"105,264元/平",830
754,2室2厅 ,87.7,东南, 精装 , 中楼层(共26层) , 2009年建 ,"88,765元/平",779
755,2室1厅 ,55.0,东南北, 精装 , 顶层(共6层) , 1990年建 ,"77,972元/平",429
756,2室1厅 ,84.0,南北, 精装 , 底层(共19层) , 2014年建 ,"39,858元/平",335
757,3室2厅 ,93.1,南北, 简装 , 中楼层(共26层) , 2015年建 ,"46,699元/平",435
758,3室2厅 ,130.8,南北, 精装 , 低楼层(共20层) , 2010年建 ,"39,658元/平",519
759,3室1厅 ,126.4,南北, 精装 , 底层(共6层) , 2004年建 ,"72,745元/平",920
760,3室1厅 ,94.0,南, 精装 , 低楼层(共25层) , 2001年建 ,"54,221元/平",510
761,2室1厅 ,63.5,南北, 简装 , 中楼层(共9层) , 1999年建 ,"115,657元/平",735
762,2室1厅 ,71,西南, 精装 , 中楼层(共24层) , 2000年建 ,"56,057元/平",398
763,2室1厅 ,50.1,东, 其他 , 底层(共5层) , 1980年建 ,"159,482元/平",799
764,2室1厅 ,60.8,南北, 精装 , 低楼层(共14层) , 1985年建 ,"73,953元/平",450
765,3室1厅 ,123.6,南北, 精装 , 中楼层(共6层) , 2004年建 ,"55,803元/平",690
766,2室1厅 ,98.1,南, 简装 , 低楼层(共6层) , 1999年建 ,"108,552元/平",1065
767,2室2厅 ,112.8,南北, 精装 , 中楼层(共9层) , 2006年建 ,"109,043元/平",1230
768,1室1厅 ,40.3,东南, 简装 , 低楼层(共21层) , 1990年建 ,"49,380元/平",199
769,2室1厅 ,58.3,南, 精装 , 中楼层(共17层) , 1992年建 ,"93,434元/平",545
770,2室1厅 ,96.3,西南, 精装 , 中楼层(共22层) , 2004年建 ,"55,516元/平",535
771,2室1厅 ,80.0,南北, 精装 , 低楼层(共18层) , 2014年建 ,"23,474元/平",188
772,2室1厅 ,64.4,南北, 精装 , 低楼层(共6层) , 1980年建 ,"84,628元/平",545
773,2室1厅 ,69.2,南, 简装 , 中楼层(共17层) , 1990年建 ,"64,866元/平",449
774,2室1厅 ,75.3,西南北, 精装 , 高楼层(共21层) , 2014年建 ,"55,748元/平",420
775,2室1厅 ,89.4,南, 简装 , 顶层(共18层) , 2015年建 ,"38,922元/平",348
776,2室1厅 ,89.3,南北, 简装 , 高楼层(共21层) , 2011年建 ,"59,311元/平",530
777,2室1厅 ,80.4,西南, 其他 , 中楼层(共12层) , 2004年建 ,"50,827元/平",409
778,2室1厅 ,114.5,南, 精装 , 低楼层(共21层) , 2007年建 ,"36,656元/平",420
779,2室1厅 ,86,东南, 精装 , 中楼层(共22层) , 2013年建 ,"41,628元/平",358
780,2室1厅 ,53.5,南北, 简装 , 中楼层(共5层) , 1985年建 ,"98,131元/平",525
781,2室1厅 ,51.3,东北, 简装 , 中楼层(共5层) , 1983年建 ,"38,747元/平",199
782,2室1厅 ,53.3,南北, 简装 , 中楼层(共6层) , 1986年建 ,"34,671元/平",185
783,2室1厅 ,99.6,东南北, 精装 , 中楼层(共23层) , 2007年建 ,"50,989元/平",508
784,2室2厅 ,89.4,南, 精装 , 高楼层(共22层) , 2010年建 ,"58,798元/平",526
785,3室2厅 ,137.7,南北, 精装 , 低楼层(共23层) , 2009年建 ,"83,473元/平",1150
786,2室1厅 ,57.0,南北, 简装 , 低楼层(共6层) , 1979年建 ,"62,939元/平",359
787,2室2厅 ,116.5,西南, 精装 , 高楼层(共30层) , 2002年建 ,"72,857元/平",849
788,2室1厅 ,105.4,东, 精装 , 24层 , 2002年建 ,"58,601元/平",618
789,2室1厅 ,71.1,南北, 简装 , 低楼层(共6层) , 1997年建 ,"58,750元/平",418
790,3室1厅 ,88.0,东南北, 毛坯 , 4层 , 1979年建 ,"79,483元/平",700
791,2室1厅 ,73.2,南北, 精装 , 中楼层(共7层) , 2005年建 ,"44,903元/平",329
792,2室2厅 ,87.8,南北, 精装 , 低楼层(共6层) , 2004年建 ,"52,266元/平",459
793,2室1厅 ,108.4,南北, 精装 , 低楼层(共10层) , 2008年建 ,"47,971元/平",520
794,3室1厅 ,123.6,南北, 精装 , 中楼层(共6层) , 2004年建 ,"55,803元/平",690
795,2室1厅 ,98.1,南, 简装 , 低楼层(共6层) , 1999年建 ,"108,552元/平",1065
796,2室2厅 ,112.8,南北, 精装 , 中楼层(共9层) , 2006年建 ,"109,043元/平",1230
797,1室1厅 ,40.3,东南, 简装 , 低楼层(共21层) , 1990年建 ,"49,380元/平",199
798,2室1厅 ,89.4,南, 简装 , 顶层(共18层) , 2015年建 ,"38,922元/平",348
799,2室1厅 ,75.3,西南北, 精装 , 高楼层(共21层) , 2014年建 ,"55,748元/平",420
800,2室1厅 ,64.4,南北, 精装 , 低楼层(共6层) , 1980年建 ,"84,628元/平",545
801,2室1厅 ,50.1,东, 其他 , 底层(共5层) , 1980年建 ,"159,482元/平",799
802,2室1厅 ,114.5,南, 精装 , 低楼层(共21层) , 2007年建 ,"36,656元/平",420
803,2室1厅 ,60.8,南北, 精装 , 低楼层(共14层) , 1985年建 ,"73,953元/平",450
804,2室1厅 ,53.6,南北, 简装 , 低楼层(共6层) , 1987年建 ,"86,738元/平",465
805,1室1厅 ,55.5,南, 简装 , 中楼层(共15层) , 2014年建 ,"32,938元/平",183
806,2室1厅 ,70.0,东南, 精装 , 中楼层(共21层) , 1990年建 ,"125,697元/平",880
807,2室1厅 ,85.0,南北, 精装 , 低楼层(共11层) , 2013年建 ,"46,449元/平",395
808,2室1厅 ,60.5,南北, 精装 , 中楼层(共6层) , 1991年建 ,"42,603元/平",258
809,2室1厅 ,92.1,南北, 精装 , 7层 , 2002年建 ,"45,588元/平",420
810,2室2厅 ,99.7,南, 精装 , 中楼层(共27层) , 2006年建 ,"72,188元/平",720
811,2室1厅 ,98.3,东南, 精装 , 低楼层(共26层) , 2004年建 ,"56,426元/平",555
812,2室1厅 ,108.2,南北, 精装 , 中楼层(共26层) , 2005年建 ,"54,057元/平",585
813,2室1厅 ,78.1,西北, 简装 , 18层 , 2000年建 ,"117,678元/平",920
814,2室1厅 ,90.0,北南, 精装 , 高楼层(共22层) , 2008年建 ,"35,310元/平",318
815,2室1厅 ,57.1,东南, 简装 , 中楼层(共18层) , 1998年建 ,"65,606元/平",375
816,2室1厅 ,96.2,南北, 简装 , 中楼层(共6层) , 2002年建 ,"43,953元/平",423
817,2室1厅 ,52.5,南西, 其他 , 中楼层(共29层) , 2014年建 ,"52,933元/平",278
818,2室1厅 ,67.3,东, 简装 , 22层 , 2011年建 ,"46,799元/平",315
819,3室1厅 ,115.2,南北, 精装 , 低楼层(共21层) , 2004年建 ,"105,857元/平",1220
820,3室3厅 ,90.1,南北, 其他 , 中楼层(共6层) , 1997年建 ,"38,731元/平",349
821,1室1厅 ,55.9,南北, 精装 , 顶层(共14层) , 2006年建 ,"52,736元/平",295
822,2室1厅 ,68.6,东西, 精装 , 中楼层(共6层) , 2000年建 ,"58,010元/平",398
823,2室1厅 ,99.3,东南, 精装 , 中楼层(共20层) , 2008年建 ,"47,806元/平",475
824,2室1厅 ,87.6,南北, 精装 , 6层 , 2001年建 ,"50,206元/平",440
825,3室1厅 ,81.9,南北, 精装 , 5层 , 1995年建 ,"42,115元/平",345
826,3室1厅 ,129,南北, 精装 , 中楼层(共6层) , 2000年建 ,"41,783元/平",539
827,1室1厅 ,61.2,东, 简装 , 低楼层(共22层) , 2004年建 ,"68,617元/平",420
828,2室1厅 ,50.5,南北, 精装 , 底层(共5层) , 1985年建 ,"112,872元/平",570
829,2室1厅 ,105.8,东, 其他 , 高楼层(共24层) , 2000年建 ,"76,080元/平",805
830,3室1厅 ,89.7,南北, 精装 , 9层 , 2012年建 ,"46,219元/平",415
831,2室2厅 ,80.1,南北, 精装 , 低楼层(共7层) , 2007年建 ,"66,168元/平",530
832,3室1厅 ,134.0,南北, 简装 , 高楼层(共10层) , 2007年建 ,"53,575元/平",718
833,2室1厅 ,61.6,东南, 简装 , 低楼层(共20层) , 1990年建 ,"90,910元/平",560
834,2室1厅 ,78.8,东南, 精装 , 高楼层(共23层) , 2006年建 ,"105,264元/平",830
835,2室1厅 ,100.1,东南, 精装 , 低楼层(共17层) , 2004年建 ,"58,495元/平",586
836,2室0厅 ,49.1,西, 精装 , 中楼层(共5层) , 1978年建 ,"42,532元/平",209
837,2室1厅 ,78.3,东南, 精装 , 中楼层(共28层) , 2002年建 ,"104,646元/平",820
838,1室1厅 ,66.4,南, 精装 , 顶层(共10层) , 2003年建 ,"66,978元/平",445
839,2室1厅 ,55.2,南北, 简装 , 中楼层(共5层) , 1988年建 ,"99,638元/平",550
840,2室1厅 ,55.2,南北, 简装 , 中楼层(共5层) , 1988年建 ,"99,638元/平",550
841,1室1厅 ,66.4,南, 精装 , 顶层(共10层) , 2003年建 ,"66,978元/平",445
842,2室1厅 ,74.4,东南, 精装 , 低楼层(共16层) , 1994年建 ,"53,742元/平",400
843,1室1厅 ,43.8,南, 精装 , 中楼层(共16层) , 1986年建 ,"72,943元/平",320
844,2室1厅 ,81.9,西南, 精装 , 高楼层(共27层) , 2014年建 ,"93,995元/平",770
845,2室1厅 ,81.1,西南, 简装 , 中楼层(共24层) , 2001年建 ,"59,150元/平",480
846,2室1厅 ,78.3,南, 精装 , 底层(共27层) , 2013年建 ,"49,145元/平",385
847,3室2厅 ,102.5,南北, 其他 , 15层 , 2015年建 ,"24,564元/平",252
848,2室1厅 ,76.1,南西北, 精装 , 高楼层(共19层) , 1991年建 ,"60,408元/平",460
849,2室1厅 ,57,南北, 简装 , 低楼层(共6层) , 1992年建 ,"149,123元/平",850
850,2室1厅 ,85.9,南北, 精装 , 中楼层(共18层) , 2012年建 ,"37,240元/平",320
851,3室1厅 ,98.0,东南西北, 精装 , 中楼层(共20层) , 2001年建 ,"46,818元/平",459
852,2室1厅 ,59.6,南, 简装 , 18层 , 1995年建 ,"72,064元/平",430
853,2室1厅 ,58.1,南, 简装 , 中楼层(共6层) , 1980年建 ,"49,226元/平",286
854,3室1厅 ,67.7,南北, 精装 , 中楼层(共6层) , 1989年建 ,"85,597元/平",580
855,2室1厅 ,67.7,东北, 精装 , 顶层(共16层) , 1987年建 ,"127,032元/平",860
856,3室1厅 ,122.8,西南, 精装 , 中楼层(共24层) , 2001年建 ,"77,769元/平",955
857,3室1厅 ,67.6,南北, 精装 , 低楼层(共3层) , 1954年建 ,"132,989元/平",899
858,2室1厅 ,60.9,南, 精装 , 低楼层(共16层) , 1990年建 ,"114,577元/平",698
859,2室1厅 ,83.6,南北, 精装 , 中楼层(共14层) , 2001年建 ,"56,552元/平",473
860,2室2厅 ,73.5,东南, 精装 , 低楼层(共18层) , 1998年建 ,"63,784元/平",469
861,1室1厅 ,44.5,南北, 精装 , 中楼层(共12层) , 1992年建 ,"73,609元/平",328
862,2室2厅 ,81.2,南北, 简装 , 低楼层(共7层) , 1995年建 ,"51,090元/平",415
863,4室2厅 ,173.3,南北, 简装 , 顶层(共11层) , 2003年建 ,"64,397元/平",1116
864,3室1厅 ,115.1,西南, 精装 , 24层 , 2001年建 ,"72,508元/平",835
865,2室2厅 ,122.5,东西, 毛坯 , 6层 , 2009年建 ,"12,649元/平",155
866,2室1厅 ,71.6,西南, 简装 , 低楼层(共16层) , 2002年建 ,"104,999元/平",752
867,2室1厅 ,87.4,南, 毛坯 , 中楼层(共17层)  , 板塔结合,"60,028元/平",525
868,2室1厅 ,61.8,南北, 精装 , 中楼层(共5层) , 1978年建 ,"93,690元/平",579
869,2室1厅 ,61.5,南北, 精装 , 中楼层(共6层) , 1994年建 ,"51,708元/平",318
870,2室1厅 ,61.8,南北, 精装 , 中楼层(共5层) , 1978年建 ,"93,690元/平",579
871,2室1厅 ,95.0,南北, 精装 , 低楼层(共7层) , 2002年建 ,"41,864元/平",398
872,2室1厅 ,58.7,南, 简装 , 中楼层(共15层) , 2010年建 ,"57,673元/平",339
873,1室1厅 ,48.2,南, 简装 , 中楼层(共16层) , 1987年建 ,"82,522元/平",398
874,2室1厅 ,83.1,南北, 简装 , 高楼层(共15层) , 2014年建 ,"38,467元/平",320
875,2室1厅 ,61.4,南北, 精装 , 中楼层(共6层) , 1994年建 ,"107,492元/平",660
876,2室1厅 ,54.1,南北, 精装 , 高楼层(共6层) , 1989年建 ,"105,361元/平",570
877,1室1厅 ,58.3,南北, 精装 , 高楼层(共6层) , 2010年建 ,"44,544元/平",260
878,2室1厅 ,100.1,南, 简装 , 顶层(共20层) , 2008年建 ,"47,748元/平",478
879,3室2厅 ,118.6,南北, 精装 , 6层 , 2002年建 ,"32,868元/平",390
880,1室1厅 ,55.3,南, 精装 , 19层 , 1999年建 ,"93,112元/平",515
881,3室2厅 ,96.7,南北, 精装 , 高楼层(共17层) , 2013年建 ,"45,479元/平",440
882,2室1厅 ,56.9,西, 精装 , 高楼层(共18层) , 2018年建 ,"35,111元/平",199.99
883,2室2厅 ,125.9,南北, 精装 , 高楼层(共10层) , 2005年建 ,"71,406元/平",899
884,4室1厅 ,94.2,南西北, 精装 , 高楼层(共16层) , 1987年建 ,"138,005元/平",1300
885,2室1厅 ,92.9,南北, 精装 , 高楼层(共11层) , 2007年建 ,"28,298元/平",263
886,2室1厅 ,76.6,南, 精装 , 低楼层(共21层) , 2015年建 ,"45,431元/平",348
887,3室1厅 ,128.2,南北, 精装 , 低楼层(共6层) , 2008年建 ,"39,938元/平",512
888,3室1厅 ,117.9,西南东北, 毛坯 , 底层(共21层) , 2011年建 ,"42,317元/平",499
889,3室1厅 ,133.2,北, 精装 , 低楼层(共18层) , 2000年建 ,"68,319元/平",910
890,3室1厅 ,137.8,东南北, 简装 , 低楼层(共25层) , 2001年建 ,"49,271元/平",679
891,4室2厅 ,164.4,南北, 精装 , 中楼层(共5层) , 2003年建 ,"82,092元/平",1350
892,3室2厅 ,124.7,东南北, 精装 , 顶层(共11层) , 2007年建 ,"51,687元/平",645
893,2室1厅 ,56.4,南北, 精装 , 顶层(共6层) , 1993年建 ,"63,209元/平",357
894,3室2厅 ,164.9,南北, 精装 , 中楼层(共20层) , 2008年建 ,"84,859元/平",1400
895,3室1厅 ,132.0,南, 精装 , 28层 , 2004年建 ,"103,014元/平",1360.4
896,3室1厅 ,77.4,东西, 简装 , 顶层(共18层) , 2010年建 ,"50,349元/平",390
897,3室1厅 ,81.4,南北, 精装 , 高楼层(共6层) , 1997年建 ,"36,856元/平",300
898,2室1厅 ,89.9,南, 精装 , 高楼层(共9层) , 2013年建 ,"41,820元/平",376
899,1室1厅 ,57.7,南北, 简装 , 低楼层(共6层) , 1998年建 ,"50,399元/平",291
900,2室1厅 ,78.6,南北, 精装 , 中楼层(共16层) , 2002年建 ,"33,330元/平",262
901,1室1厅 ,55.3,南北, 毛坯 , 中楼层(共15层) , 2014年建 ,"32,154元/平",178
902,1室1厅 ,43.5,南, 精装 , 高楼层(共18层) , 1990年建 ,"76,888元/平",335
903,2室1厅 ,54.6,南北, 精装 , 底层(共6层) , 1981年建 ,"75,445元/平",412
904,1室1厅 ,69.5,北, 精装 , 高楼层(共24层) , 2002年建 ,"75,518元/平",525
905,1室1厅 ,57.5,西北, 精装 , 中楼层(共28层) , 2004年建 ,"68,672元/平",395
906,1室1厅 ,63.6,东南南, 精装 , 高楼层(共20层) , 2003年建 ,"77,878元/平",496
907,2室1厅 ,67.6,东南西南, 简装 , 低楼层(共6层) , 1989年建 ,"75,344元/平",510
908,1室1厅 ,70.1,东南, 简装 , 中楼层(共30层) , 2001年建 ,"65,612元/平",460
909,2室1厅 ,59.6,东西, 简装 , 低楼层(共6层) , 1996年建 ,"46,072元/平",275
910,1室1厅 ,63.3,西北, 简装 , 顶层(共15层) , 2008年建 ,"47,221元/平",299
911,2室2厅 ,92.2,南北, 精装 , 高楼层(共14层) , 2010年建 ,"33,515元/平",309
912,2室1厅 ,64.1,南北, 简装 , 11层 , 1990年建 ,"66,231元/平",425
913,2室1厅 ,60.2,南, 毛坯 , 低楼层(共16层) , 1987年建 ,"72,236元/平",435
914,2室1厅 ,77.1,东南, 精装 , 中楼层(共12层) , 1995年建 ,"77,163元/平",595
915,2室1厅 ,88,西北, 精装 , 中楼层(共23层) , 2002年建 ,"69,319元/平",610
916,2室1厅 ,58.1,南北, 简装 , 5层 , 1994年建 ,"35,801元/平",208
917,2室2厅 ,86.3,南北, 精装 , 中楼层(共11层) , 2015年建 ,"20,621元/平",178
918,1室1厅 ,68.7,南, 精装 , 低楼层(共11层) , 2006年建 ,"71,990元/平",495
919,2室1厅 ,86.5,南北, 简装 , 高楼层(共6层) , 2011年建 ,"41,595元/平",360
920,2室1厅 ,94.5,东北, 简装 , 底层(共22层) , 2002年建 ,"49,710元/平",470
921,2室1厅 ,62.2,南北, 简装 , 中楼层(共6层) , 1982年建 ,"54,280元/平",338
922,2室1厅 ,63.3,西, 简装 , 低楼层(共18层) , 1995年建 ,"59,956元/平",380
923,2室1厅 ,98.9,南北, 简装 , 底层(共6层) , 2009年建 ,"40,025元/平",396
924,2室1厅 ,64.9,南北, 简装 , 中楼层(共6层) , 2009年建 ,"48,984元/平",318
925,1室1厅 ,49.1,南, 精装 , 低楼层(共25层) , 1990年建 ,"74,950元/平",368
926,2室2厅 ,107.1,南北, 简装 , 中楼层(共14层) , 2003年建 ,"48,433元/平",519
927,2室1厅 ,67.4,西北北, 简装 , 低楼层(共22层) , 2004年建 ,"81,406元/平",549
928,1室1厅 ,67.7,东南, 简装 , 低楼层(共24层) , 2002年建 ,"33,049元/平",224
929,1室1厅 ,45.5,南, 简装 , 高楼层(共16层) , 1985年建 ,"54,458元/平",248
930,1室1厅 ,70.1,东南, 简装 , 中楼层(共30层) , 2001年建 ,"65,612元/平",460
931,2室1厅 ,60.2,南, 毛坯 , 低楼层(共16层) , 1987年建 ,"72,236元/平",435
932,2室1厅 ,94.5,东北, 简装 , 底层(共22层) , 2002年建 ,"49,710元/平",470
933,2室1厅 ,71.5,西, 精装 , 21层 , 2005年建 ,"64,039元/平",458
934,2室2厅 ,95.6,南北, 简装 , 中楼层(共9层) , 2009年建 ,"43,620元/平",417
935,1室1厅 ,49.9,东北, 简装 , 低楼层(共9层) , 2004年建 ,"57,693元/平",288
936,2室1厅 ,77.7,南北, 简装 , 底层(共6层) , 1997年建 ,"89,833元/平",698
937,2室1厅 ,80.3,南北, 简装 , 中楼层(共6层) , 2005年建 ,"59,132元/平",475
938,2室1厅 ,80.8,南北, 精装 , 高楼层(共21层) , 2016年建 ,"42,693元/平",345
939,2室1厅 ,89.8,南北, 精装 , 顶层(共9层) , 2015年建 ,"47,291元/平",425
940,2室1厅 ,59.8,南北, 毛坯 , 中楼层(共6层)  , 板楼,"24,220元/平",145
941,1室1厅 ,57.2,南北, 毛坯 , 低楼层(共6层) , 2003年建 ,"46,289元/平",265
942,2室1厅 ,78.3,南, 简装 , 中楼层(共14层) , 1998年建 ,"84,887元/平",665
943,3室1厅 ,58.9,南北, 精装 , 底层(共5层) , 1980年建 ,"106,622元/平",628
944,1室0厅 ,44.6,西北, 简装 , 中楼层(共14层) , 2004年建 ,"64,683元/平",289
945,2室1厅 ,90.0,东西, 简装 , 中楼层(共20层) , 2011年建 ,"164,891元/平",1485
946,2室2厅 ,98.2,南北, 简装 , 中楼层(共25层) , 2013年建 ,"58,932元/平",579
947,2室1厅 ,63.9,西南, 毛坯 , 中楼层(共18层) , 1993年建 ,"53,052元/平",339
948,2室1厅 ,76.7,南北, 简装 , 低楼层(共14层) , 1998年建 ,"86,039元/平",660
949,3室1厅 ,56.6,南北, 精装 , 中楼层(共4层) , 1983年建 ,"128,885元/平",730
950,2室1厅 ,88.7,南, 精装 , 17层 , 2012年建 ,"44,523元/平",395
951,1室1厅 ,65.4,东北, 精装 , 低楼层(共16层) , 2009年建 ,"58,357元/平",382
952,2室1厅 ,88.1,南北, 简装 , 中楼层(共9层) , 2011年建 ,"41,984元/平",370
953,1室1厅 ,61.5,西, 精装 , 高楼层(共9层) , 2005年建 ,"50,236元/平",309
954,1室1厅 ,51.1,东北, 简装 , 中楼层(共6层) , 1993年建 ,"55,752元/平",285
955,2室1厅 ,106.2,东南, 精装 , 28层 , 2001年建 ,"114,835元/平",1220
956,1室1厅 ,76.9,西, 精装 , 中楼层(共24层) , 2011年建 ,"58,213元/平",448
957,1室0厅 ,45.4,南, 简装 , 中楼层(共31层) , 2009年建 ,"76,974元/平",350
958,1室1厅 ,42.9,南, 精装 , 顶层(共6层) , 1993年建 ,"48,485元/平",208
